
****************************************

  MemTrackerLog 

       Sep 25 2024  
       19:48:13  

****************************************

External Libs: 

Leak(579)  16 bytes ref:1745 
Leak(580)  48 bytes ref:1746 
Leak(581)  16 bytes ref:1748 
Leak(582)  32 bytes ref:1749 
Leak(583)  16 bytes ref:1751 
Leak(584)  32 bytes ref:1752 
Leak(585)  16 bytes ref:1754 
Leak(586)  32 bytes ref:1755 
Leak(587)  16 bytes ref:1757 
Leak(588)  32 bytes ref:1758 
Leak(589)  16 bytes ref:1760 
Leak(590)  32 bytes ref:1761 
Leak(591)  16 bytes ref:1763 
Leak(592)  32 bytes ref:1764 
Leak(593)  16 bytes ref:1766 
Leak(594)  32 bytes ref:1767 
Leak(595)  16 bytes ref:1769 
Leak(596)  32 bytes ref:1770 
Leak(597)  16 bytes ref:1772 
Leak(598)  32 bytes ref:1773 
Leak(599)  16 bytes ref:1775 
Leak(600)  32 bytes ref:1776 
Leak(601)  16 bytes ref:1780 
Leak(602)  32 bytes ref:1781 
Leak(603)  16 bytes ref:1783 
Leak(604)  32 bytes ref:1784 
Leak(605)  16 bytes ref:1786 
Leak(606)  32 bytes ref:1787 
Leak(607)  16 bytes ref:1789 
Leak(608)  48 bytes ref:1790 
Leak(609)  16 bytes ref:1792 
Leak(610)  32 bytes ref:1793 
Leak(611)  16 bytes ref:1795 
Leak(612)  32 bytes ref:1796 
Leak(613)  16 bytes ref:1798 
Leak(614)  32 bytes ref:1799 
Leak(615)  16 bytes ref:1801 
Leak(616)  32 bytes ref:1802 
Leak(617)  16 bytes ref:1804 
Leak(618)  32 bytes ref:1805 
Leak(619)  16 bytes ref:1807 
Leak(620)  48 bytes ref:1808 
Leak(621)  16 bytes ref:1810 
Leak(622)  32 bytes ref:1811 
Leak(623)  16 bytes ref:1813 
Leak(624)  48 bytes ref:1814 
Leak(625)  16 bytes ref:1816 
Leak(626)  32 bytes ref:1817 
Leak(627)  16 bytes ref:1819 
Leak(628)  48 bytes ref:1820 
Leak(629)  16 bytes ref:1822 
Leak(630)  32 bytes ref:1823 
Leak(631)  16 bytes ref:1825 
Leak(632)  32 bytes ref:1826 
Leak(633)  16 bytes ref:1828 
Leak(634)  32 bytes ref:1829 
Leak(635)  16 bytes ref:1831 
Leak(636)  32 bytes ref:1832 
Leak(637)  16 bytes ref:1834 
Leak(638)  32 bytes ref:1835 
Leak(639)  19007 bytes ref:1836 
Leak(640)  16 bytes ref:1890 
Leak(641)  16 bytes ref:1896 
Leak(642)  16 bytes ref:1948 
Leak(643)  16 bytes ref:1955 
Leak(644)  16 bytes ref:2010 
Leak(645)  16 bytes ref:2012 
Leak(646)  16 bytes ref:2013 
Leak(647)  16 bytes ref:2095 
Leak(648)  16 bytes ref:2101 
Leak(649)  16 bytes ref:2135 
Leak(650)  16 bytes ref:2154 
Leak(651)  32 bytes ref:2155 
Leak(652)  16 bytes ref:2157 
Leak(653)  32 bytes ref:2158 
Leak(654)  16 bytes ref:2160 
Leak(655)  32 bytes ref:2161 
Leak(656)  16 bytes ref:2163 
Leak(657)  32 bytes ref:2164 
